X,Y,Z
6.136893,15.603999,15.481154
-4.658292,9.603613,17.310672
-5.561054,2.058060,15.393530
-5.558965,1.326384,13.307414
-2.168022,-3.894830,10.904502
-1.436285,-3.070787,5.697432
0.043628,-3.821417,3.961603
0.750720,-2.588011,-2.630405
0.201570,-2.279636,-7.067055
1.953115,-1.595563,-8.244733
3.164181,-1.007315,-8.229887
1.174309,-0.485595,-7.346861
1.477858,-0.868783,-5.414673
2.318486,2.063581,-7.579591
0.192229,2.508369,-10.266667
0.450384,1.098131,-4.702422
0.523365,-1.104505,-1.316417
0.714601,-2.582045,-2.943283
0.741082,-4.148151,0.398668
0.074870,-2.707455,-1.536649
0.722195,-2.413962,-1.421053
0.608177,-1.228439,-3.659830
0.461798,-0.467714,-5.153812
-1.107796,-0.406246,-2.149590
-1.219046,0.408315,-2.792048
