Latitude,Longitude,Yaw,Course,WindDir,RudderAngle,SailAngle,Speed,Waypoint,LogState,Autopilot,TimeStamp
-5.839517,-35.201343,24.92,75.33,135.00,2.00,0.00,0.61,1,1,0,3632
-5.839517,-35.201343,24.39,75.33,135.00,2.00,0.00,0.61,1,1,0,3901
-5.839517,-35.201343,23.74,75.33,135.00,2.00,0.00,0.61,1,1,0,4307
-5.839518,-35.201339,23.21,75.33,135.00,2.00,0.00,0.61,1,1,0,4491
-5.839518,-35.201339,22.69,205.88,135.00,2.00,0.00,0.52,1,1,0,4836
-5.839518,-35.201339,21.98,205.88,135.00,0.00,0.00,0.52,1,1,0,5157
-5.839518,-35.201335,15.62,205.88,135.00,2.00,0.00,0.52,1,1,0,7503
-5.839518,-35.201335,14.32,299.84,135.00,0.00,0.00,0.46,1,1,0,7825
-5.839518,-35.201335,11.70,299.84,135.00,2.00,0.00,0.46,1,1,0,8407
-5.839518,-35.201335,10.46,299.84,135.00,-5.00,0.00,0.46,1,1,0,8706
-5.839518,-35.201335,8.95,299.84,135.00,-16.00,9.00,0.46,1,1,0,8996
-5.839520,-35.201343,7.39,25.72,135.00,-43.00,9.00,0.31,1,1,0,9297
-5.839517,-35.201339,-9.88,24.23,135.00,-90.00,10.00,0.39,1,1,0,12963
-5.839515,-35.201339,-10.82,24.23,135.00,-88.00,21.00,0.39,1,1,0,14716
-5.839513,-35.201339,-13.66,24.23,180.00,-90.00,20.00,0.39,1,1,0,15311
-5.839513,-35.201339,-15.05,24.23,-135.00,-90.00,20.00,0.39,1,1,0,15596
-5.839510,-35.201335,-41.33,1.48,-135.00,-79.00,12.00,2.48,1,1,0,17740
-5.839498,-35.201335,-45.59,1.48,-135.00,-90.00,14.00,2.48,1,1,0,18314
-5.839482,-35.201335,-81.48,345.21,-90.00,-72.00,20.00,2.67,1,1,0,21390
-5.839482,-35.201335,-82.35,345.21,-90.00,2.00,0.00,2.67,1,1,0,21685
-5.839482,-35.201335,-80.37,345.21,-90.00,0.00,0.00,2.67,1,1,0,21967
-5.839482,-35.201335,-78.17,345.21,-90.00,0.00,0.00,2.67,1,1,0,22245
-5.839478,-35.201339,-75.87,345.21,-135.00,2.00,0.00,2.67,1,1,0,22527
-5.839478,-35.201339,-73.78,303.42,-135.00,0.00,0.00,2.56,1,1,0,22816
-5.839475,-35.201347,-78.32,305.19,-135.00,-90.00,74.00,2.28,1,1,1,24983
-5.839475,-35.201347,-87.22,305.19,-135.00,-90.00,74.00,2.28,1,1,1,25271
-5.839475,-35.201351,-97.04,305.19,-135.00,-90.00,74.00,2.28,1,1,1,25561
-5.839475,-35.201351,-106.36,301.95,-90.00,-90.00,74.00,2.07,1,1,1,25836
-5.839475,-35.201351,-115.89,301.95,-45.00,-90.00,49.00,2.07,1,1,1,26129
-5.839475,-35.201351,-123.61,301.95,-45.00,-90.00,24.00,2.07,1,1,1,26435
-5.839475,-35.201351,-130.96,301.95,-45.00,-90.00,24.00,2.07,1,1,1,26732
-5.839475,-35.201351,-138.17,301.95,-90.00,-90.00,24.00,2.07,1,1,1,27010
-5.839478,-35.201366,-173.05,301.95,-45.00,-90.00,24.00,2.07,1,1,1,28884
-5.839478,-35.201366,-177.99,301.95,-45.00,-90.00,24.00,2.07,1,1,1,29172
-5.839478,-35.201366,175.81,301.95,-45.00,-90.00,24.00,2.07,1,1,1,29741
-5.839478,-35.201366,174.24,301.95,-45.00,-90.00,24.00,2.07,1,1,1,30033
-5.839498,-35.201377,154.50,203.63,0.00,-90.00,0.00,2.85,1,1,1,32500
