Date,TimeStamp,Latitude,Longitude,Wind Direction,Wind Speed,Rudder Angle,Thruster Power,GPS Course,GPS Speed,Yaw,Pitch,Roll,Magnetometer Heading,Temperature,Pressure,Altitude,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Going to waypoint,Autopilot on?
15/11/2018 12:41:09,0.09,-5.839575,-35.201278,22.50,0.00,0.00,11.00,233.40,0.50,156.71,0.19,-2.01,50.57,31.40,1004.13,143.05,-0.51,-30.12,256.00,-0.00,-0.01,-0.01,64.83,-78.84,64.83,0,1
15/11/2018 12:41:09,0.46,-5.839575,-35.201278,22.50,0.00,-90.00,11.00,233.40,0.50,-176.79,-7.38,-2.33,48.39,31.40,1004.16,143.30,0.51,-27.11,253.94,0.01,-0.01,-0.01,66.53,-77.18,66.53,0,1
15/11/2018 12:41:09,0.82,-5.839575,-35.201278,22.50,0.00,-90.00,11.00,233.40,0.50,-160.60,-6.18,-1.92,48.69,31.40,1004.16,143.30,1.52,-34.13,256.00,-0.00,0.00,-0.01,66.10,-77.59,66.10,0,1
15/11/2018 12:41:09,1.19,-5.839575,-35.201278,22.50,0.00,-90.00,11.00,233.40,0.50,-148.32,-5.54,-1.48,48.29,31.50,1004.10,143.55,3.55,-34.13,257.03,0.00,-0.01,-0.31,66.10,-76.76,66.10,0,1
00/00/2000 12:41:18,1.55,-5.839573,-35.201274,22.50,0.00,-90.00,11.00,1000.00,-1.00,-143.85,-6.28,-3.61,48.66,31.50,1004.07,144.05,-3.55,-27.11,260.12,0.00,-0.02,-0.01,66.53,-78.01,66.53,0,1
00/00/2000 12:41:18,1.91,-5.839573,-35.201274,0.00,0.00,-90.00,11.00,1000.00,-1.00,-141.76,-6.29,-3.23,49.18,31.50,1004.01,143.55,6.59,-32.13,257.03,0.02,0.04,-0.01,66.10,-77.59,66.10,0,1
00/00/2000 12:41:18,2.25,-5.839573,-35.201274,0.00,0.00,-90.00,0.00,1000.00,-1.00,-140.49,-5.22,-2.21,48.16,31.50,1004.07,142.80,6.59,-37.15,259.09,0.00,0.01,-0.01,66.95,-76.76,66.95,0,1
15/11/2018 12:41:19,2.61,-5.839573,-35.201274,0.00,0.00,-90.00,0.00,104.31,0.31,-139.40,-6.16,-1.90,48.20,31.50,1004.04,143.80,-6.59,-20.08,247.76,0.01,0.05,-0.00,66.53,-77.59,66.53,0,1
15/11/2018 12:41:20,2.98,-5.839573,-35.201274,22.50,0.00,-90.00,0.00,104.31,0.31,-138.77,-6.89,-2.76,48.49,31.50,1004.19,143.55,6.59,-26.10,251.88,0.00,0.01,-0.01,67.37,-78.42,67.37,0,1
15/11/2018 12:41:20,3.35,-5.839573,-35.201274,22.50,0.00,-90.00,11.00,104.31,0.31,-138.63,-6.62,-2.21,49.74,31.50,1004.10,143.05,0.51,-31.12,259.09,0.00,0.01,-0.00,66.10,-79.25,66.10,0,1
15/11/2018 12:41:20,3.70,-5.839573,-35.201274,22.50,0.00,-90.00,11.00,104.31,0.31,-138.86,-7.01,-2.30,49.66,31.50,1004.19,143.05,-1.52,-28.11,254.97,0.01,0.00,-0.01,64.83,-78.84,64.83,0,1
15/11/2018 12:41:21,4.07,-5.839573,-35.201274,22.50,0.00,-90.00,11.00,104.31,0.31,-138.90,-5.45,-2.27,47.75,31.50,1004.10,143.55,-2.53,-28.11,260.12,0.00,0.02,-0.01,67.37,-76.76,67.37,0,1
15/11/2018 12:41:21,4.44,-5.839573,-35.201274,22.50,0.00,-90.00,11.00,104.31,0.31,-138.45,-7.31,-2.30,48.02,31.50,1004.10,143.55,0.51,-30.12,256.00,-0.00,0.01,-0.01,67.37,-78.01,67.37,0,1
15/11/2018 12:41:21,4.80,-5.839573,-35.201274,22.50,0.00,-90.00,11.00,43.69,0.59,-138.34,-6.07,-1.27,49.12,31.50,1004.01,143.80,3.55,-31.12,252.91,0.01,0.01,-0.01,64.83,-77.59,64.83,0,1
15/11/2018 12:41:22,5.16,-5.839572,-35.201271,22.50,0.00,-90.00,11.00,88.92,0.50,-138.58,-7.28,-3.94,48.65,31.50,1004.07,144.05,4.56,-28.11,242.61,-0.03,-0.15,-0.01,66.95,-78.01,66.95,0,1
15/11/2018 12:41:22,5.52,-5.839572,-35.201271,22.50,0.00,-90.00,11.00,88.92,0.50,-138.68,-5.64,-1.84,49.51,31.50,1004.10,144.05,9.63,-26.10,252.91,0.01,0.01,-0.01,65.68,-78.84,65.68,0,1
15/11/2018 12:41:23,5.89,-5.839573,-35.201271,0.00,0.00,-90.00,11.00,88.92,0.50,-139.03,-6.65,-3.70,49.09,31.50,1004.16,143.30,4.56,-31.12,258.06,0.00,-0.05,-0.01,66.53,-77.59,66.53,0,1
15/11/2018 12:41:23,6.26,-5.839573,-35.201271,0.00,0.00,-90.00,0.00,88.92,0.50,-139.00,-6.17,-4.14,48.35,31.50,1004.16,142.29,1.52,-28.11,254.97,-0.00,-0.01,-0.01,67.37,-78.01,67.37,0,1
15/11/2018 12:41:23,6.61,-5.839573,-35.201271,0.00,0.00,-90.00,0.00,88.92,0.50,-138.69,-5.21,-0.96,49.40,31.50,1004.10,144.05,8.62,-28.11,254.97,0.00,0.00,-0.01,65.68,-79.25,65.68,0,1
15/11/2018 12:41:24,6.98,-5.839572,-35.201271,0.00,0.00,-90.00,0.00,74.58,0.46,-138.92,-5.36,-3.08,48.84,31.50,1004.10,143.80,8.62,-30.12,256.00,-0.00,-0.03,-0.01,66.95,-77.59,66.95,0,1
15/11/2018 12:41:25,7.35,-5.839572,-35.201267,0.00,0.00,-90.00,0.00,74.58,0.46,-138.77,-6.55,-3.07,49.19,31.50,1004.01,143.55,-0.51,-30.12,264.24,-0.01,-0.00,-0.01,66.53,-78.42,66.53,0,1
15/11/2018 12:41:25,7.72,-5.839572,-35.201267,0.00,0.00,-90.00,0.00,74.58,0.46,-138.75,-6.74,-2.48,47.56,31.50,1004.07,142.80,13.69,-26.10,244.67,0.01,0.02,-0.01,67.37,-77.18,67.37,0,1
15/11/2018 12:41:25,8.07,-5.839572,-35.201267,0.00,0.00,-90.00,0.00,74.58,0.46,-138.14,-5.58,-6.54,49.48,31.50,1004.01,143.55,-1.52,-27.11,251.88,-0.00,0.05,-0.01,66.53,-79.67,66.53,0,1
15/11/2018 12:41:26,8.44,-5.839573,-35.201267,0.00,0.00,-90.00,0.00,74.58,0.46,-138.61,-6.62,-2.35,48.53,31.50,1004.01,143.30,4.56,-29.11,254.97,-0.00,-0.00,-0.01,66.95,-78.84,66.95,0,1
